Region_id,Region,Date,total_homes_sold,total_homes_sold_yoy,Cases
22,Houston,2/5/20,1459,0.112042683,0
22,Houston,2/6/20,1321,0.135855546,0
22,Houston,2/7/20,1087,0.301796407,0
22,Houston,2/8/20,1082,0.158458244,0
22,Houston,2/9/20,1080,0.163793103,0
22,Houston,2/10/20,1079,0.162715517,0
22,Houston,2/11/20,1051,0.091381101,0
22,Houston,2/12/20,1102,0.109768379,0
22,Houston,2/13/20,1184,0.163064833,0
22,Houston,2/14/20,1395,0.292863763,0
22,Houston,2/15/20,1400,0.104972376,0
22,Houston,2/16/20,1403,0.102987421,0
22,Houston,2/17/20,1243,-0.023566379,0
22,Houston,2/18/20,1392,0.222124671,0
22,Houston,2/19/20,1426,0.175597692,0
22,Houston,2/20/20,1466,0.118230359,0
22,Houston,2/21/20,1410,0.075514874,0
22,Houston,2/22/20,1406,0.091614907,0
22,Houston,2/23/20,1407,0.092391304,0
22,Houston,2/24/20,1661,0.290598291,0
22,Houston,2/25/20,1585,0.01994852,0
22,Houston,2/26/20,1650,0.035131744,0
22,Houston,2/27/20,1802,0.07646356,0
22,Houston,2/28/20,2234,-0.032481594,0
22,Houston,2/29/20,2243,0.007184553,0
22,Houston,3/1/20,2248,0.010337079,0
22,Houston,3/2/20,2261,0.01481149,0
22,Houston,3/3/20,2242,0.038443724,0
22,Houston,3/4/20,2152,0.033621518,0
22,Houston,3/5/20,2002,0.041081643,0
22,Houston,3/6/20,1570,0.240126382,4
22,Houston,3/7/20,1561,0.233017378,4
22,Houston,3/8/20,1553,0.145280236,4
22,Houston,3/9/20,1508,0.112094395,5
22,Houston,3/10/20,1564,0.155096012,5
22,Houston,3/11/20,1610,0.169208424,5
22,Houston,3/12/20,1660,0.211678832,7
22,Houston,3/13/20,1639,0.191133721,7
22,Houston,3/14/20,1639,0.160764873,7
22,Houston,3/15/20,1641,0.111788618,10
22,Houston,3/16/20,1730,0.171293162,10
22,Houston,3/17/20,1715,0.160351827,10
22,Houston,3/18/20,1700,0.122853369,10
22,Houston,3/19/20,1608,0.049608355,10
22,Houston,3/20/20,1652,0.04822335,24
22,Houston,3/21/20,1653,0.048857868,26
22,Houston,3/22/20,1652,0.047558656,27
22,Houston,3/23/20,1594,0.005678233,27
22,Houston,3/24/20,1614,0.01829653,54
22,Houston,3/25/20,1660,0.02850062,134
22,Houston,3/26/20,1713,0.031927711,185
22,Houston,3/27/20,1718,-0.012075906,203
22,Houston,3/28/20,1719,-0.122959184,229
22,Houston,3/29/20,1718,-0.278151261,445
22,Houston,3/30/20,1807,-0.241075178,526
22,Houston,3/31/20,2166,-0.091823899,563
22,Houston,4/1/20,2115,-0.09923339,680
22,Houston,4/2/20,2024,-0.104820876,847
22,Houston,4/3/20,1787,-0.16456288,955
22,Houston,4/4/20,1788,-0.029842648,1106
26,San Antonio,1/7/20,293,0.268398268,0
26,San Antonio,1/8/20,348,0.216783217,0
26,San Antonio,1/9/20,345,0.210526316,0
26,San Antonio,1/10/20,402,0.400696864,0
26,San Antonio,1/11/20,410,0.293375394,0
